,capacity,fuel,de02,count,efficiency
1568,30.0,other fossil fuels,DE01,1,0.416977265953857
11220,0.03,other fossil fuels,DE01,1,0.41697726595385703
36369,4.05,other fossil fuels,DE01,1,0.416977265953857
37192,1.358,other fossil fuels,DE01,1,0.41697726595385703
40284,2.716,other fossil fuels,DE01,1,0.41697726595385703
40518,1.358,other fossil fuels,DE01,1,0.41697726595385703
40522,1.358,other fossil fuels,DE01,1,0.41697726595385703
40532,1.358,other fossil fuels,DE01,1,0.41697726595385703
48480,1.358,other fossil fuels,DE01,1,0.41697726595385703
48482,1.358,other fossil fuels,DE01,1,0.41697726595385703
48485,1.358,other fossil fuels,DE01,1,0.41697726595385703
61885,5.2,other fossil fuels,DE01,1,0.41697726595385703
63991,5.4,other fossil fuels,DE01,1,0.41697726595385703
64074,1.358,other fossil fuels,DE01,1,0.41697726595385703
64078,1.358,other fossil fuels,DE01,1,0.41697726595385703
64079,1.358,other fossil fuels,DE01,1,0.41697726595385703
64096,1.358,other fossil fuels,DE01,1,0.41697726595385703
64097,1.358,other fossil fuels,DE01,1,0.41697726595385703
64098,1.35,other fossil fuels,DE01,1,0.41697726595385703
64099,4.05,other fossil fuels,DE01,1,0.416977265953857
64659,1.358,other fossil fuels,DE01,1,0.41697726595385703
66647,5.4,other fossil fuels,DE01,1,0.41697726595385703
66733,2.7,other fossil fuels,DE01,1,0.41697726595385703
69116,18.0,other fossil fuels,DE01,1,0.416977265953857
69542,2.73,other fossil fuels,DE01,1,0.41697726595385703
71553,1.358,other fossil fuels,DE01,1,0.41697726595385703
75847,2.73,other fossil fuels,DE01,1,0.41697726595385703
76978,1.358,other fossil fuels,DE01,1,0.41697726595385703
78644,1.358,other fossil fuels,DE01,1,0.41697726595385703
79121,1.358,other fossil fuels,DE01,1,0.41697726595385703
79420,1.0,other fossil fuels,DE01,1,0.41697726595385703
79421,1.0,other fossil fuels,DE01,1,0.41697726595385703
79460,1.358,other fossil fuels,DE01,1,0.41697726595385703
79958,10.415,other fossil fuels,DE01,1,0.41697726595385703
81192,1.9,other fossil fuels,DE01,1,0.41697726595385703
81249,3.765,other fossil fuels,DE01,1,0.41697726595385703
84017,1.3,other fossil fuels,DE01,1,0.41697726595385703
84358,1.358,other fossil fuels,DE01,1,0.41697726595385703
86082,3.0,other fossil fuels,DE01,1,0.41697726595385703
87395,5.432,other fossil fuels,DE01,1,0.41697726595385703
87599,1.358,other fossil fuels,DE01,1,0.41697726595385703
87645,1.358,other fossil fuels,DE01,1,0.41697726595385703
89022,4.074,other fossil fuels,DE01,1,0.41697726595385703
92591,1.358,other fossil fuels,DE01,1,0.41697726595385703
92630,1.358,other fossil fuels,DE01,1,0.41697726595385703
93077,4.074,other fossil fuels,DE01,1,0.41697726595385703
95593,6.0,other fossil fuels,DE01,1,0.41697726595385703
96955,1.358,other fossil fuels,DE01,1,0.41697726595385703
96956,1.358,other fossil fuels,DE01,1,0.41697726595385703
100380,2.72,other fossil fuels,DE01,1,0.41697726595385703
100412,2.72,other fossil fuels,DE01,1,0.41697726595385703
110657,2.7,other fossil fuels,DE01,1,0.41697726595385703
113821,18.0,other fossil fuels,DE01,1,0.416977265953857
119343,1.358,other fossil fuels,DE01,1,0.41697726595385703
121131,2.7,other fossil fuels,DE01,1,0.41697726595385703
124924,1.358,other fossil fuels,DE01,1,0.41697726595385703
129176,1.358,other fossil fuels,DE01,1,0.41697726595385703
131054,1.358,other fossil fuels,DE01,1,0.41697726595385703
131057,1.358,other fossil fuels,DE01,1,0.41697726595385703
131080,1.358,other fossil fuels,DE01,1,0.41697726595385703
133286,1.358,other fossil fuels,DE01,1,0.41697726595385703
133288,1.255,other fossil fuels,DE01,1,0.416977265953857
141785,3.0,other fossil fuels,DE01,1,0.41697726595385703
141794,3.0,other fossil fuels,DE01,1,0.41697726595385703
197882,4.05,other fossil fuels,DE01,1,0.416977265953857
213523,0.7,other fossil fuels,DE01,1,0.41697726595385703
223449,2.73,other fossil fuels,DE01,1,0.41697726595385703
278144,1.0,other fossil fuels,DE01,1,0.41697726595385703
495155,0.21,other fossil fuels,DE01,1,0.416977265953857
931014,1.365,other fossil fuels,DE01,1,0.41697726595385703
1022239,4.07,other fossil fuels,DE01,1,0.41697726595385703
1658459,,other fossil fuels,DE01,1,
1726191,336.0,hard coal,DE01,1,0.44
1726192,433.0,hard coal,DE01,1,0.455
1726193,19.0,hard coal,DE01,1,0.2325
1726194,717.0,hard coal,DE01,1,0.3775
1726195,124.0,hard coal,DE01,1,0.3475
1726196,89.0,hard coal,DE01,1,0.4
1726197,282.0,hard coal,DE01,1,0.3925
1726198,282.0,hard coal,DE01,1,0.39499999999999996
1726199,726.0,hard coal,DE01,1,0.3825
1726200,43.3,hard coal,DE01,1,0.46799999999999997
1726201,59.5,hard coal,DE01,1,0.4600000000000001
1726202,303.0,hard coal,DE01,1,0.3725
1726203,350.0,hard coal,DE01,1,0.4425
1726204,95.0,hard coal,DE01,1,0.3875
1726205,370.0,hard coal,DE01,1,0.395
1726206,725.0,hard coal,DE01,1,0.4575
1726207,283.0,hard coal,DE01,1,0.4525
1726208,106.0,hard coal,DE01,1,0.43
1726209,17.4,hard coal,DE01,1,0.375
1726210,27.0,hard coal,DE01,1,0.504
1726211,29.0,hard coal,DE01,1,0.486
1726212,33.0,hard coal,DE01,1,0.4725
1726213,61.5,hard coal,DE01,1,0.3975
1726214,61.5,hard coal,DE01,1,0.3975
1726215,345.0,hard coal,DE01,1,0.3475
1726216,345.0,hard coal,DE01,1,0.345
1726217,70.0,hard coal,DE01,1,0.38750000000000007
1726218,510.0,hard coal,DE01,1,0.405
1726219,,hard coal,DE01,1,
1726220,194.0,hard coal,DE01,1,0.4075
1726221,,hard coal,DE01,1,
1726222,381.8500000000001,hard coal,DE01,1,0.46000000000000013
1726223,136.0,hard coal,DE01,1,0.39749999999999996
1726224,136.0,hard coal,DE01,1,0.39749999999999996
1726225,125.0,hard coal,DE01,1,0.45
1726226,125.0,hard coal,DE01,1,0.45
1726227,778.0,hard coal,DE01,1,0.4475
1726228,449.0,hard coal,DE01,1,0.4575
1726229,690.0,hard coal,DE01,1,0.4325
1726230,794.0,hard coal,DE01,1,0.4475
1726231,66.0,hard coal,DE01,1,0.4905
1726232,13.4,hard coal,DE01,1,0.415
1726233,517.0,hard coal,DE01,1,0.4375
1726234,417.0,hard coal,DE01,1,0.4600000000000001
1726235,323.0,hard coal,DE01,1,0.405
1726236,26.0,hard coal,DE01,1,0.3175
1726237,110.0,hard coal,DE01,1,0.3525
1726238,103.0,hard coal,DE01,1,0.33
1726239,149.0,hard coal,DE01,1,0.415
1726240,324.0,hard coal,DE01,1,0.4175
1726241,735.0,hard coal,DE01,1,0.4575
1726242,255.0,hard coal,DE01,1,0.4375
1726243,425.0,hard coal,DE01,1,0.38
1726244,435.0,hard coal,DE01,1,0.4075
1726245,,hard coal,DE01,1,
1726246,120.0,hard coal,DE01,1,0.2655
1726247,55.3,hard coal,DE01,1,0.4095
1726248,60.2,hard coal,DE01,1,0.4635000000000001
1726249,54.0,hard coal,DE01,1,0.4
1726250,875.0,hard coal,DE01,1,0.3925
1726251,26.9,hard coal,DE01,1,0.4000000000000001
1726252,655.6,hard coal,DE01,1,0.365
1726253,514.0,hard coal,DE01,1,0.41
1726254,50.0,hard coal,DE01,1,0.4375
1726255,24.8,hard coal,DE01,1,0.3475
1726256,22.6,hard coal,DE01,1,0.4475
1726257,45.0,hard coal,DE01,1,0.38
1726258,45.0,hard coal,DE01,1,0.385
1726259,40.0,hard coal,DE01,1,0.4
1726260,20.7,hard coal,DE01,1,0.37
1726261,332.7,hard coal,DE01,1,0.4025
1726262,179.0,hard coal,DE01,1,0.38
1726263,211.0,hard coal,DE01,1,0.39749999999999996
1726264,96.0,hard coal,DE01,1,0.4525
1726265,148.0,hard coal,DE01,1,0.4525
1726266,123.0,hard coal,DE01,1,0.40750000000000003
1726267,137.0,hard coal,DE01,1,0.4075
1726268,310.0,hard coal,DE01,1,0.38
1726269,614.0,hard coal,DE01,1,0.385
1726270,757.0,hard coal,DE01,1,0.365
1726271,,hard coal,DE01,1,
1726272,61.5,hard coal,DE01,1,0.425
1726273,61.5,hard coal,DE01,1,0.425
1726274,138.5,hard coal,DE01,1,0.38749999999999996
1726275,138.5,hard coal,DE01,1,0.38749999999999996
1726276,85.0,hard coal,DE01,1,0.3975
1726277,472.0,hard coal,DE01,1,0.45249999999999996
1726278,,hard coal,DE01,1,
1726279,,hard coal,DE01,1,
1726280,,hard coal,DE01,1,
1726281,,hard coal,DE01,1,
1726282,,hard coal,DE01,1,
1726283,,hard coal,DE01,1,
1726284,,hard coal,DE01,1,
1726285,,hard coal,DE01,1,
1726286,,hard coal,DE01,1,
1726287,,hard coal,DE01,1,
1726288,,hard coal,DE01,1,
1726289,172.5,hard coal,DE01,1,0.3525
1726290,64.5,hard coal,DE01,1,0.3225
1726291,172.5,hard coal,DE01,1,0.35
1726292,172.5,hard coal,DE01,1,0.3525
1726293,338.0,hard coal,DE01,1,0.3725
1726294,66.5,hard coal,DE01,1,0.3325
1726295,93.0,hard coal,DE01,1,0.3525
1726296,303.0,hard coal,DE01,1,0.35
1726297,202.5,hard coal,DE01,1,0.34
1726298,202.5,hard coal,DE01,1,0.35000000000000003
1726299,35.0,hard coal,DE01,1,0.38
1726300,23.0,hard coal,DE01,1,0.37
1726301,284.0,hard coal,DE01,1,0.3475
1726302,127.0,hard coal,DE01,1,0.345
1726303,382.5,hard coal,DE01,1,0.4600000000000001
1726304,60.4,hard coal,DE01,1,0.34
1726305,280.0,hard coal,DE01,1,0.3975
1726306,695.0,hard coal,DE01,1,0.38
1726307,695.0,hard coal,DE01,1,0.3875
1726308,318.0,hard coal,DE01,1,0.3525
1726309,322.0,hard coal,DE01,1,0.3525
1726455,297.0,lignite,DE01,1,0.3232
1726456,299.0,lignite,DE01,1,0.3304
1726457,648.0,lignite,DE01,1,0.4216
1726458,628.0,lignite,DE01,1,0.41919999999999996
1726459,944.0,lignite,DE01,1,0.4048
1726460,125.0,lignite,DE01,1,0.3112
1726461,125.0,lignite,DE01,1,0.3112
1726462,295.0,lignite,DE01,1,0.316
1726463,295.0,lignite,DE01,1,0.32799999999999996
1726464,15.0,lignite,DE01,1,0.3616
1726465,10.0,lignite,DE01,1,0.38799999999999996
1726466,10.0,lignite,DE01,1,0.38799999999999996
1726467,875.0,lignite,DE01,1,0.4
1726468,875.0,lignite,DE01,1,0.3976
1726469,465.0,lignite,DE01,1,0.3832
1726470,465.0,lignite,DE01,1,0.38559999999999994
1726471,857.0,lignite,DE01,1,0.4
1726472,640.0,lignite,DE01,1,0.4288
1726473,56.8,lignite,DE01,1,0.3712
1726474,90.8,lignite,DE01,1,0.424
1726475,74.0,lignite,DE01,1,0.3976
1726476,49.0,lignite,DE01,1,0.3904
1726477,27.5,lignite,DE01,1,0.3088
1726478,9.3,lignite,DE01,1,0.3592
1726479,321.0,lignite,DE01,1,0.316
1726480,321.0,lignite,DE01,1,0.3208
1726481,663.0,lignite,DE01,1,0.3376
1726482,656.0,lignite,DE01,1,0.34
1726483,14.5,lignite,DE01,1,0.4312
1726484,45.0,lignite,DE01,1,0.3928
1726485,176.0,lignite,DE01,1,0.3712
1726486,1060.0,lignite,DE01,1,0.4288
1726487,1060.0,lignite,DE01,1,0.4288
1726488,284.0,lignite,DE01,1,0.376
1726489,278.0,lignite,DE01,1,0.376
1726490,292.0,lignite,DE01,1,0.3352
1726491,294.0,lignite,DE01,1,0.3328
1726492,294.0,lignite,DE01,1,0.3328
1726493,607.0,lignite,DE01,1,0.34
1726494,604.0,lignite,DE01,1,0.3424
1726495,352.0,lignite,DE01,1,0.364
1726496,40.0,lignite,DE01,1,0.3808
1726497,0.0,lignite,DE01,1,
1726498,98.0,lignite,DE01,1,0.37840000000000007
1726499,24.6,lignite,DE01,1,0.4096
1726500,33.5,lignite,DE01,1,0.3712
1726501,75.3,lignite,DE01,1,0.424
1726502,20.3,lignite,DE01,1,0.3832
1726503,465.0,lignite,DE01,1,0.3904
1726504,465.0,lignite,DE01,1,0.3904
